"REF_DATE","GEO","DGUID","Distribution","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028668","1.1.1","1835320.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028669","1.1.2","70724.3","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028670","1.1.3","288755.7","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028671","1.2.1","1934920.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028672","1.2.2","74425.5","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028673","1.2.3","385965.6","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028674","1.3.1","2788254.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028675","1.3.2","107356.2","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028676","1.3.3","652895.2","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028677","2.1.1","13631.0","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028678","2.1.2","548.8","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028679","2.1.3","1691.2","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028680","2.2.1","12288.0","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028681","2.2.2","494.7","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028682","2.2.3","6515.6","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028683","2.3.1","924.0","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028684","2.3.2","37.2","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028685","2.3.3","732.5","","","","1"
"2016-01","New Brunswick","2016A000213","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028686","3.1.1","8449.0","","","","1"
"2016-01","New Brunswick","2016A000213","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028687","3.1.2","330.0","","","","1"
