State,"Total Energy Consumed per Capita, million Btu"
Louisiana ,960
Wyoming ,885
North Dakota,836
Alaska,822
Iowa,496
Texas,472
Nebraska,457
South Dakota,441
Oklahoma,418
West Virginia,416
Indiana,406
Montana,399
Mississippi,394
Alabama,390
Kentucky,372
Kansas,369
Arkansas,352
Minnesota,329
South Carolina,327
New Mexico,327
Tennessee,323
Idaho ,322
Ohio,312
Wisconsin,312
Illinois,303
Pennsylvania,298
Maine,294
Missouri,283
Washington,282
Delaware,282
Michigan,278
Virginia,272
Georgia,269
Utah,267
Colorado,261
Oregon,249
North Carolina,244
District of Columbia,241
New Jersey,240
Nevada,238
New Hampshire,235
Maryland,218
Vermont,216
Arizona,209
Massachusetts,208
Connecticut,203
Florida,201
California,200
Hawaii,199
New York,188
Rhode Island,174
